projectName,src,alt,modalID,basicDescription,description0,description1,description2,link0,linkName0,link1,linkName1,link2,linkName2,link3,linkName3,link4,linkName4,techs
"Recomendador de Digimons","./src/img/proj-p5-digimon.png","Imagem do Recomendador de Digimon no P5.js.","modal001","Interface criada para recomendar um Digimon com base nas escolhas do usuário.","O projeto utiliza o P5.js para criar uma interface interativa que recomenda um Digimon com base nas escolhas e preferências do usuário.","É possível ainda ver qual a digievolução na fase adulta do Digimon."," ","https://editor.p5js.org/gustavodal/sketches/kz7fL2tDb","Projeto no P5.js"," "," "," "," "," "," "," "," ","P5.js, Javascript"
"Bem vindos ao Egito","./src/img/proj-p5-egito.png","Imagem do Projeto Bem vindo ao Egito no P5.js.","modal002","Projeto básico de introdução ao uso de imagens para storyboard com P5.js.","Utilizando o P5.js, é possível criar uma narrativa visual trabalhando princípios do storyboard por meio da programação com JavaScript.","Podem ser adicionados elementos como uma imagem de fundo, personagens, objetos e até mesmo balões de fala."," ","https://editor.p5js.org/gustavodal/sketches/qTJDQoaKi","Projeto no P5.js"," "," "," "," "," "," "," "," ","P5.js, Javascript"
"Monalisa no P5.js","./src/img/proj-p5-monalisa.png","Imagem do Projeto da Mona Lisa no P5.js.","modal003","Captura do movimento do mouse para sincronização com o movimento dos olhos.","Com uma imagem de fundo da Mona Lisa, o projeto faz uma sátira implementando uma interatividade com o eixo horizontal do mouse para representar a ideia que o olho dela segue o observador.","Ao clicar a figura solta uma substância vermelha como um sangue, dando um ar creepy ao projeto."," ","https://editor.p5js.org/gustavodal/sketches/QXvpZovlZ","Projeto no P5.js"," "," "," "," "," "," "," "," ","P5.js, Javascript"
"Jogo da Nave no P5.js","./src/img/proj-p5-nave-desvio.png","Imagem do Jogo da Nave no P5.js.","modal004","Movimentação usando as setas de direção lateral para desvio dos meteoros.","Um jogo de nave com a temática de Dragon Ball, contabilizando os desvios dos meteoros que caem em direção ao jogador e os recordes de mais desvios sem deixar ser acertado.","Quando um meteoro acerta o jogador aparece uma tela de Game Over com o registro da pontuação atual e do recorde, com a possibilidade de reiniciar o jogo apenas apertando uma tecla."," ","https://editor.p5js.org/gustavodal/sketches/6RbxdTuLY","Projeto no P5.js"," "," "," "," "," "," "," "," ","P5.js, Javascript"
"Sorteador de Palavras","./src/img/proj-p5-palavra.png","Imagem do Sorteador de Palavra no P5.js.","modal005","A palavra é revelada acompanhando o movimento do mouse e é sorteada quando está toda escondida.","Criando uma interação gráfica de um conjunto de palavras que começam com a letra 'C' com a posição do mouse na tela, o usuário pode descobrir qual a palavra sorteada expandindo o tamanho da palavra.","Ao comprimir novamente a palavra para a letra 'C', o algoritmo sorteia novamente até que o usuário volte a revelar uma outra vez qual a palavra sorteada."," ","https://editor.p5js.org/gustavodal/sketches/OSxJst87c","Projeto no P5.js"," "," "," "," "," "," "," "," ","P5.js, Javascript"
"Jogo do Pong no P5.js","./src/img/proj-p5-pong.png","Imagem do Jogo do Pong no P5.js.","modal006","Movimentação usando as setas de direção vertical para rebater a bolinha. Vence quem fizer 10 danos ao oponente primeiro.","Uma versão especial do clássico jogo do pong feita no P5.js com base em variáveis, condicionais e funções.","O jogador enfrenta um nível intermediário de IA e precisa acertar 10 pontos para vencer o jogo."," ","https://editor.p5js.org/gustavodal/sketches/-HbSqY4om","Projeto no P5.js"," "," "," "," "," "," "," "," ","P5.js, Javascript"
"Rádio Inovação CIEBP","./src/img/proj-p5-radio.png","Imagem do Projeto Rádio Inovação CIEBP.","modal007","Animação com imagens do logotipo do CIEBP de fundo e um letreiro colorido.","Projeto voltado para a inclusão de imagens na tela do P5.js e a animação de um letreiro colorido.","A estética dos banners digitais dos anos 90 e 2000 é reproduzida, contrastando 'Inovação' com tecnologias antigas."," ","https://editor.p5js.org/gustavodal/sketches/08-tT-q5H","Projeto no P5.js"," "," "," "," "," "," "," "," ","P5.js, Javascript"
"Simulador de Coordenadas","./src/img/proj-p5-sim-coord-controle-drift.png","Imagem do Simulador de Coordenadas para acelerômetro no P5.js.","modal008","Visualização gráfica para a implementação de um simulador de coordenadas de acelerômetro no P5.js.","Para a melhor compreensão sobre o funcionamento e a programação de controle remoto analógico de carrinho com drift em placas Micro:Bit, o projeto utiliza a interface gráfica do P5.js para a compreensão dos campos aos quais a movimentação do controle alteram o funcionamento dos motores.","Num plano cartesiano, as posições do Micro:Bit são simuladas pelo ponteiro do mouse, dividindo em oito regiões que ativam os motores de formas diversificadas."," ","https://editor.p5js.org/gustavodal/sketches/ZtqfcN_1j","Projeto no P5.js","https://editor.p5js.org/gustavodal/sketches/_vy5DUZ8o"," "," "," "," "," "," "," ","P5.js, Javascript"
"Scratch Giratório no P5.js","./src/img/proj-p5-spinning-scratch.png","Imagem do Scratch Giratório no P5.js.","modal009","Projeto interativo de demonstração da integração entre as plataformas P5.js e Scratch.","Utilizando os sprites do Scratch e com o desafio de reproduzir uma programação básica nos blocos da plataforma utilizando a biblioteca em JavaScript do P5.js, o projeto recria o mascote com interação em relação ao ponteiro do mouse.","O objetivo é demonstrar as potencialidades de ambas as plataformas, desafiando a aprendizagem por meio da leitura de documentações em diferentes linguagens e bibliotecas."," ","https://editor.p5js.org/gustavodal/sketches/NLQ8hj56q","Projeto no P5.js","https://scratch.mit.edu/projects/1140165261/","Projeto no Scratch"," "," "," "," "," "," ","P5.js, Javascript, Scratch"
"Digimon Card Battle","./src/img/proj-scratch-digimon-card-battle.png","Imagem Jogo Digimon Card Battle no Scratch.","modal010","Jogo feito no Scratch, inspirado no TCG Digimon e nos jogos do tipo Super Trunfo, versão digital.","Digimon Card Battle é originalmente um jogo clássico do PSX, reproduzido em um formato simplificado dentro do Scratch.","Com referências aos projetos de Super Trunfo, foram implementados mecanismos de digievolução e um nível de dificuldade do intermediário para o difícil."," ","https://scratch.mit.edu/projects/1075392584/","Projeto no Scratch"," "," "," "," "," "," "," "," ","Scratch"
